"kode_urusan","kode_bidang","kode_program","kode_kegiatan","kode_sub_kegiatan","nomenklatur","kinerja","indikator","satuan"
"1","1","2.0","1.01","39.0","Pengadaan Perlengkapan Peserta Didik","Perlengkapan Peserta Didik yang Tersedia","Jumlah Perlengkapan Peserta Didik yang Tersedia","Paket"
"1","1","2.0","1.01","40.0","Pengadaaan Sarana Mobilitas Sekolah","Sarana Mobilitas Sekolah yang Tersedia","Jumlah Sarana Mobilitas Sekolah yang Tersedia","Unit"
"1","1","2.0","1.01","41.0","Pengadaaan Alat Praktik dan Peraga Peserta Didik","Alat Praktik dan Peraga Peserta Didik yang Tersedia","Jumlah Alat Praktik dan Peraga Peserta Didik yang Tersedia","Paket"
"1","1","2.0","1.01","43.0","Pemeliharaan Rutin Sarana, Prasarana dan Utilitas Sekolah","Terlaksananya Pemeliharaan Sarana, Prasarana dan Utilitas Sekolah","Jumlah Sarana, Prasarana dan Utilitas Sekolah yang Dilaksanakan Pemeliharaan","Unit"
"1","1","2.0","1.01","45.0","Penyediaan Biaya Personil Peserta Didik Sekolah Menengah Atas","Biaya Personil Peserta Didik Sekolah Menengah Atas Diterima oleh Peserta Didik","Jumlah Peserta Didik Sekolah Menengah Atas yang Menerima Biaya Personil Peserta Didik","Peserta didik"
"1","1","2.0","1.01","49.0","Pembinaan Minat, Bakat dan Kreativitas Siswa","Siswa yang Mengikuti Ajang Kompetisi/Lomba Akademik dan Non Akademik","Jumlah Siswa yang Mengikuti Ajang Kompetisi/Lomba Akademik dan Non Akademik","Peserta Didik"
"1","1","2.0","1.01","50.0","Penyediaan Pendidik dan Tenaga Kependidikan bagi Satuan Pendidikan Sekolah Menengah Atas","Pendidik dan Tenaga Kependidikan Tersedia bagi Satuan Pendidikan Sekolah Menengah Atas","Jumlah Pendidik dan Tenaga Kependidikan yang Tersedia pada Satuan Pendidikan Sekolah Menengah Atas","Orang"
"1","1","2.0","1.01","51.0","Pengembangan Karir Pendidik dan Tenaga Kependidikan Pada Satuan Pendidikan Sekolah Menengah Atas","Pendidik dan Tenaga Kependidikan yang Mendapatkan Fasilitasi Kenaikan Pangkat/Golongan, Pemberian Promosi, Peningkatan Kompetensi dan Kualifikasi","Jumlah Pendidik dan Tenaga Kependidikan yang Mendapatkan Fasilitasi Kenaikan Pangkat/Golongan, Pemberian Promosi, Peningkatan Kompetensi dan Kualifikasi","Orang"
"1","1","2.0","1.01","52.0","Pembinaan Kelembagaan dan Manajemen Sekolah Menengah Atas","Terlaksananya Pembinaan Kelembagaan dan Manajemen Sekolah Menengah Atas","Jumlah Sekolah Menengah Atas yang Dilakukan Pembinaan Kelembagaan dan Manajemen","Satuan Pendidikan"
"1","1","2.0","1.01","53.0","Pengelolaan Dana BOS Sekolah Menengah Atas","Terlaksananya Pengelolaan Dana BOS Sekolah Menengah Atas","Jumlah Sekolah Menengah Atas yang Mengelola Dana BOS","Satuan Pendidikan"
"1","1","2.0","1.01","54.0","Peningkatan Kapasitas Pengelolaan Dana BOS Sekolah Menengah Atas","Meningkatnya Kapasitas Tenaga Pengelola Dana BOS Sekolah Menengah Atas","Jumlah Tenaga Pengelola yang Meningkat Kapasitasnya dalam Pengelolaan Dana BOS Sekolah Menengah Atas","Orang"
"1","1","2.0","1.01","55.0","Pemeliharaan Mebel","Terlaksananya Pemeliharaan Mebel Sekolah","Jumlah Mebel Sekolah yang Dilaksanakan Pemeliharaan","Unit"
"1","1","2.0","1.01","56.0","Peningkatan profesi pelaku perbukuan daerah pada Satuan Pendidikan Menengah Atas","Pelaku perbukuan daerah yang mendapatkan fasilitasi peningkatan profesi","Jumlah Pelaku perbukuan daerah yang mendapatkan fasilitasi peningkatan profesi","Orang"
"1","1","2.0","1.01","57.0","Pembinaan Penggunaan Teknologi, Informasi dan Komunikasi (TIK) untuk Pendidikan","Terlaksananya Pembinaan Penggunaan Teknologi, Informasi dan Komunikasi (TIK) untuk Pendidikan","Jumlah Orang yang Mendapatkan Pembinaan Penggunaan Teknologi, Informasi dan Komunikasi (TIK) untuk Pendidikan","Orang"
"1","1","2.0","1.01","58.0","Pengembangan konten digital untuk pendidikan","Terlaksananya konten digital untuk pendidikan yang dikembangkan","Jumlah konten digital untuk pendidikan yang telah dikembangkan","Konten Digital"
"1","1","2.0","1.01","59.0","Pelatihan Penggunaan Aplikasi Bidang Pendidikan","Terlaksananya pelatihan penggunaan aplikasi di bidang pendidikan","Jumlah peserta pelatihan penggunaan aplikasi di bidang pendidikan yang dilaksanakan","Orang"
"1","1","2.0","1.01","60.0","Koordinasi, Perencanaan, Supervisi dan Evaluasi Layanan di Bidang Pendidikan","Terlaksananya Koordinasi, Perencanaan, Supervisi dan Evaluasi Layanan di Bidang Pendidikan","Jumlah Dokumen Hasil Koordinasi, Perencanaan, Supervisi dan Evaluasi Layanan di Bidang Pendidikan","Dokumen"
"1","1","2.0","1.01","61.0","Sosialisasi dan Advokasi Kebijakan Bidang Pendidikan","Terlaksananya kegiatan sosialisasi dan advokasi kebijakan di bidang Pendidikan","Jumlah kegiatan sosialisasi dan advokasi kebijakan di bidang Pendidikan yang dilaksanakan","Dokumen"
"1","1","2.0","1.01","63.0","Fasilitasi Komunitas Belajar Pendidik dan Tenaga Kependidikan","Komunitas Belajar Pendidik dan Tenaga Pendidik yang terfasilitasi","Jumlah Komunitas Belajar Pendidik dan Tenaga Pendidik yang terfasilitasi","Komunitas"
"1","1","2.0","1.01","64.0","Penyediaan infrastruktur TIK","Tersedianya infrastruktur TIK","Jumlah paket infrastruktur TIK yang tersedia","Paket"
"1","1","2.0","1.01","65.0","Pemberian layanan pendampingan bagi satuan pendidikan untuk pencegahan perundungan, kekerasan, dan intoleransi","Terlayaninya satuan pendidikan dalam pencegahan perundungan, kekerasan, dan intoleransi","Jumlah kegiatan pendampingan bagi satuan pendidikan untuk pencegahan perundungan, kekerasan, dan intoleransi","Kegiatan"
"1","1","2.0","1.01","66.0","Perlengkapan Dasar Buku Teks dan Non Teks Peserta Didik","Peserta Didik Menerima Perlengkapan Dasar Buku Teks dan Non Teks","Jumlah Buku Teks dan Non Teks yang Diterima Peserta Didik","Buku"
"1","1","2.0","1.01","67.0","Pembangunan Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah","Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah yang Terbangun","Jumlah Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah yang Telah Dibangun","Unit"
"1","1","2.0","1.01","68.0","Rehabilitasi sedang/berat Sarana, Prasarana dan Utilitas Sekolah","Sarana, Prasarana dan Utilitas Sekolah yang Terehabilitasi sedang/berat","Jumlah Sarana, Prasarana dan Utilitas Sekolah yang Telah Direhabilitasi sedang/berat","Unit"
"1","1","2.0","1.01","69.0","Rehabilitasi sedang/berat Asrama Sekolah","Asrama Sekolah yang Terehabilitasi sedang/berat","Jumlah Asrama Sekolah yang Telah Direhabilitasi sedang/berat","Unit"
"1","1","2.0","1.01","70.0","Pembangunan Ruang Laboratorium","Ruang Laboratorium yang Terbangun","Jumlah Ruang Laboratorium yang Telah Dibangun","Ruang"
"1","1","2.0","1.01","71.0","Rehabilitasi Sedang/Berat Ruang Laboratorium","Ruang Laboratorium yang Terehabilitasi Sedang/Berat","Jumlah Laboratorium yang Telah Direhabilitasi Sedang/Berat","Ruang"
"1","1","2.0","1.01","72.0","Pembangunan Ruang Kelas Baru","Ruang Kelas Baru Bertambah","Jumlah Ruang Kelas Baru yang Bertambah","Ruang"
"1","1","2.0","1.01","73.0","Rehabilitasi sedang/berat Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah","Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah yang Terehabilitasi sedang/berat","Jumlah Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah yang Telah Di Rehabilitasi sedang/berat","Unit"
"1","1","2.0","1.01","74.0","Rehabilitasi sedang/berat Kantin Sekolah","Kantin Sekolah yang Terehabilitasi sedang/berat","Jumlah Kantin Sekolah yang Telah Direhabilitasi sedang/berat","Unit"
"1","1","2.0","1.01","75.0","Bimbingan Teknis, Pelatihan, dan/atau Magang/PKL untuk Peningkatan Kapasitas Bidang Pendidikan","Terlaksananya Bimbingan Teknis, Pelatihan, dan/atau Magang/PKL untuk Peningkatan Kapasitas Bidang Pendidikan","Jumlah Peserta Bimbingan Teknis, Pelatihan, dan/atau Magang/PKL untuk Peningkatan Kapasitas Bidang Pendidikan yang dilaksanakan","Orang"
"1","1","2.0","1.01","76.0","Penataan Ruang/Sudut Baca","Ruang/Sudut Baca yang Tertata","Jumlah Ruang/Sudut Baca yang Telah Ditata","Ruang"
"1","1","2.0","1.01","77.0","Rehabilitasi sedang/berat Fasilitas Parkir","Fasilitas Parkir yang Terehabilitasi sedang/berat","Jumlah Fasilitas Parkir yang Telah Direhabilitasi sedang/berat","Unit"
"1","1","2.0","1.01","78.0","Penyelenggaraan Proses Belajar bagi Peserta Didik","Terselenggaranya Proses Belajar Bagi Peserta Didik","Jumlah Satuan Pendidikan yang Menyelenggarakan Proses Belajar","Satuan Pendidikan"
"1","1","2.0","1.01","79.0","Pembangunan Ruang Pusat Sumber Anak Berkebutuhan Khusus","Ruang Pusat Sumber Anak Berkebutuhan Khusus yang Terbangun","Jumlah Ruang Pusat Sumber Anak Berkebutuhan Khusus yang Telah Dibangun","Ruang"
"1","1","2.0","1.01","80.0","Rehabilitasi Ruang Pusat Sumber Anak Berkebutuhan Khusus","Ruang Pusat Sumber Anak Berkebutuhan Khusus yang Terehabilitasi","Jumlah Ruang Pusat Sumber Anak Berkebutuhan Khusus yang Telah Direhabilitasi","Ruang"
"1","1","2.0","1.02","","Pengelolaan Pendidikan Sekolah Menengah Kejuruan","","",""
"1","1","2.0","1.02","1.0","Pembangunan USB (Unit Sekolah Baru)","Sekolah Baru yang Terbangun","Jumlah Sekolah Baru yang Telah Dibangun","Unit"
"1","1","2.0","1.02","3.0","Pembangunan Ruang Guru/Kepala Sekolah/TU","Ruang Guru/Kepala Sekolah/TU yang Terbangun","Jumlah Ruang Guru/Kepala Sekolah/TU yang Telah Dibangun","Ruang"
"1","1","2.0","1.02","4.0","Pembangunan Ruang Praktik Siswa","Ruang Praktik Siswa yang Terbangun","Jumlah Ruang Praktik Siswa yang Telah Dibangun","Ruang"
"1","1","2.0","1.02","5.0","Pembangunan Ruang Laboratorium","Ruang Laboratorium yang Terbangun","Jumlah Ruang Laboratorium yang Telah Dibangun","Ruang"
"1","1","2.0","1.02","6.0","Pembangunan Ruang Unit Kesehatan Sekolah","Ruang Unit Kesehatan Sekolah yang Terbangun","Jumlah Ruang Unit Kesehatan Sekolah yang Telah Dibangun","Ruang"
"1","1","2.0","1.02","7.0","Pembangunan Perpustakaan Sekolah","Perpustakaan Sekolah yang Terbangun","Jumlah Perpustakaan Sekolah yang Telah Dibangun","Ruang"
"1","1","2.0","1.02","8.0","Pembangunan Ruang Serba Guna/Aula","Ruang Serba Guna/Aula yang Terbangun","Jumlah Ruang Serba Guna/Aula yang Telah Dibangun","Ruang"
"1","1","2.0","1.02","9.0","Pembangunan Asrama Sekolah","Asrama Sekolah yang Terbangun","Jumlah Asrama Sekolah yang Telah Dibangun","Unit"
"1","1","2.0","1.02","10.0","Pembangunan Sarana, Prasarana dan Utilitas Sekolah","Sarana, Prasarana dan Utilitas Sekolah yang Terbangun","Jumlah Sarana, Prasarana dan Utilitas Sekolah yang Telah Dibangun","Unit"
"1","1","2.0","1.02","11.0","Pembangunan Fasilitas Parkir","Fasilitas Parkir yang Terbangun","Jumlah Fasilitas Parkir yang Telah Dibangun","Unit"
"1","1","2.0","1.02","12.0","Pembangunan Kantin Sekolah","Kantin Sekolah yang Terbangun","Jumlah Kantin Sekolah yang Telah Dibangun","Unit"
"1","1","2.0","1.02","16.0","Rehabilitasi Ruang Guru/Kepala Sekolah/TU","Ruang Guru/Kepala Sekolah/TU yang Terehabilitasi","Jumlah ruang Guru/Kepala Sekolah/TU yang Telah Direhabilitasi","Ruang"
"1","1","2.0","1.02","18.0","Rehabilitasi Ruang Laboratorium","Ruang Laboratorium yang Terehabilitasi","Jumlah Ruang Laboratorium yang Telah Direhabilitasi","Ruang"
"1","1","2.0","1.02","19.0","Rehabilitasi Ruang Unit Kesehatan Sekolah","Ruang Unit Kesehatan Sekolah yang Terehabilitasi","Jumlah Ruang Unit Kesehatan Sekolah yang Telah Direhabilitasi","Ruang"
"1","1","2.0","1.02","28.0","Pengadaan Mebel Sekolah","Mebel Sekolah yang Tersedia","Jumlah Mebel Sekolah yang Tersedia","Paket"
"1","1","2.0","1.02","29.0","Pengadaaan Alat Rumah Tangga Sekolah","Alat Rumah Tangga Sekolah yang Tersedia","Jumlah Alat Rumah Tangga Sekolah yang Tersedia","Paket"
"1","1","2.0","1.02","30.0","Pengadaan Perlengkapan Sekolah","Perlengkapan Sekolah yang Tersedia","Jumlah perlengkapan Sekolah yang Tersedia","Paket"
"1","1","2.0","1.02","31.0","Pengadaan Perlengkapan Peserta Didik","Perlengkapan Peserta Didik yang Tersedia","Jumlah Perlengkapan Peserta Didik yang Tersedia","Paket"
"1","1","2.0","1.02","32.0","Pengadaaan Sarana Mobilitas Sekolah","Sarana Mobilitas Sekolah yang Tersedia","Jumlah Sarana Mobilitas Sekolah yang Tersedia","Unit"
"1","1","2.0","1.02","33.0","Pengadaaan Alat Praktik dan Peraga Peserta Didik","Alat Praktik dan Peraga Peserta Didik yang Tersedia","Jumlah Alat Praktik dan Peraga Peserta Didik yang Tersedia","Paket"
"1","1","2.0","1.02","35.0","Pemeliharaan Rutin Sarana, Prasarana dan Utilitas Sekolah","Terlaksananya Pemeliharaan Rutin Sarana, Prasarana dan Utilitas Sekolah","Jumlah Sarana, Prasarana dan Utilitas Sekolah yang Dilaksanakan Pemeliharaan","Unit"
"1","1","2.0","1.02","37.0","Penyediaan Biaya Personil Peserta Didik Sekolah Menengah Kejuruan","Biaya Personil Peserta Didik Sekolah Menengah Kejuruan Diterima oleh Peserta Didik","Jumlah Peserta Didik Sekolah Menengah Kejuruan yang Menerima Biaya Personil Peserta Didik","Peserta didik"
"1","1","2.0","1.02","41.0","Pembinaan Minat, Bakat dan Kreativitas Siswa","Siswa yang Mengikuti Ajang Kompetisi/Lomba Akademik dan Non Akademik","Jumlah Siswa yang Mengikuti Ajang Kompetisi/Lomba Akademik dan Non Akademik","Peserta Didik"
"1","1","2.0","1.02","42.0","Penyediaan Pendidik dan Tenaga Kependidikan bagi Satuan Pendidikan Sekolah Menengah Kejuruan","Pendidik dan Tenaga Kependidikan Tersedia bagi Satuan Pendidikan Sekolah Menengah Kejuruan","Jumlah Pendidik dan Tenaga Kependidikan yang Tersedia pada Satuan Pendidikan Sekolah Menengah Kejuruan","Orang"
"1","1","2.0","1.02","43.0","Pengembangan Karir Pendidik dan Tenaga Kependidikan pada Satuan Pendidikan Sekolah Menengah Kejuruan","Pendidik dan Tenaga Kependidikan yang Mendapatkan Fasilitasi kenaikan Pangkat/Golongan, Pemberian Promosi, Peningkatan Kompetensi dan Kualifikasi","Jumlah Pendidik dan Tenaga Kependidikan yang Mendapatkan Fasilitasi Kenaikan Pangkat/Golongan, Pemberian Promosi, Peningkatan Kompetensi dan Kualifikasi","Orang"
"1","1","2.0","1.02","45.0","Pembinaan Kelembagaan dan Manajemen Sekolah Menengah Kejuruan","Terlaksananya Pembinaan Kelembagaan dan Manajemen Sekolah Menengah Kejuruan","Jumlah Sekolah Menengah Kejuruan yang Dilaksanakan Pembinaan Kelembagaan dan Manajemen","Satuan Pendidikan"
"1","1","2.0","1.02","46.0","Pengelolaan Dana BOS Sekolah Menengah Kejuruan","Terlaksananya Pengelolaan Dana BOS Sekolah Menengah Kejuruan","Jumlah Sekolah Menengah Kejuruan yang Mengelola Dana BOS","Satuan Pendidikan"
"1","1","2.0","1.02","47.0","Peningkatan Kapasitas Pengelolaan Dana BOS Sekolah Menengah Kejuruan","Meningkatnya Kapasitas Tenaga Pengelolaan Dana BOS Sekolah Menengah Kejuruan","Jumlah Tenaga Pengelola yang Meningkat Kapasitasnya dalam Pengelolaan Dana BOS Sekolah Menengah Kejuruan","Orang"
"1","1","2.0","1.02","48.0","Pemeliharaan Mebel","Terlaksananya Pemeliharaan Mebel Sekolah","Jumlah Mebel Sekolah yang Dilaksanakan Pemeliharaan","Unit"
"1","1","2.0","1.02","50.0","Pembinaan Penggunaan Teknologi, Informasi dan Komunikasi (TIK) untuk Pendidikan","Terlaksananya Pembinaan Penggunaan Teknologi, Informasi dan Komunikasi (TIK) untuk Pendidikan","Jumlah Orang yang Mendapatkan Pembinaan Penggunaan Teknologi, Informasi dan Komunikasi (TIK) untuk Pendidikan","Orang"
"1","1","2.0","1.02","51.0","Pengembangan konten digital untuk pendidikan","Terlaksananya konten digital untuk pendidikan yang dikembangkan","Jumlah konten digital untuk pendidikan yang telah dikembangkan","Konten Digital"
"1","1","2.0","1.02","52.0","Pelatihan Penggunaan Aplikasi Bidang Pendidikan","Terlaksananya pelatihan penggunaan aplikasi di bidang pendidikan","Jumlah peserta pelatihan penggunaan aplikasi di bidang pendidikan yang dilaksanakan","Orang"
"1","1","2.0","1.02","53.0","Koordinasi, Perencanaan, Supervisi dan Evaluasi Layanan di Bidang Pendidikan","Terlaksananya Koordinasi, Perencanaan, Supervisi dan Evaluasi Layanan di Bidang Pendidikan","Jumlah Dokumen Hasil Koordinasi, Perencanaan, Supervisi dan Evaluasi Layanan di Bidang Pendidikan","Dokumen"
"1","1","2.0","1.02","54.0","Sosialisasi dan Advokasi Kebijakan Bidang Pendidikan","Terlaksananya kegiatan sosialisasi dan advokasi kebijakan di bidang Pendidikan","Jumlah kegiatan sosialisasi dan advokasi kebijakan di bidang Pendidikan yang dilaksanakan","Dokumen"
"1","1","2.0","1.02","56.0","Fasilitasi sertifikasi kompetensi bagi pendidik SMK","Pendidik SMK yang mendapat sertifikat kompetensi","Pendidik SMK yang mendapat sertifikat kompetensi","Orang"
"1","1","2.0","1.02","57.0","Fasilitasi Komunitas Belajar Pendidik dan Tenaga Kependidikan","Komunitas Belajar Pendidik dan Tenaga Pendidik yang terfasilitasi","Jumlah Komunitas Belajar Pendidik dan Tenaga Pendidik yang terfasilitasi","Komunitas"
"1","1","2.0","1.02","58.0","Penyediaan infrastruktur TIK","Tersedianya infrastruktur TIK","Jumlah paket infrastruktur TIK yang tersedia","Paket"
"1","1","2.0","1.02","59.0","Pemberian layanan pendampingan bagi satuan pendidikan untuk pencegahan perundungan, kekerasan, dan intoleransi","Terlayaninya satuan pendidikan dalam pencegahan perundungan, kekerasan, dan intoleransi","Jumlah kegiatan pendampingan bagi satuan pendidikan untuk pencegahan perundungan, kekerasan, dan intoleransi","Kegiatan"
"1","1","2.0","1.02","60.0","Fasilitasi Sertifikasi Kompetensi Peserta Didik","Terlaksananya sertifikasi kompetensi peserta didik","Jumlah peserta didik yang memiliki sertifikasi kompetensi","Orang"
"1","1","2.0","1.02","61.0","Perlengkapan Dasar Buku Teks dan Non Teks Peserta Didik","Peserta Didik Menerima Perlengkapan Dasar Buku Teks dan Non Teks","Jumlah Buku Teks dan Non Teks yang Diterima Peserta Didik","Buku"
"1","1","2.0","1.02","62.0","Rehabilitasi sedang/berat Sarana, Prasarana dan Utilitas Sekolah","Sarana, Prasarana dan Utilitas Sekolah yang Terehabilitasi sedang/berat","Jumlah Sarana, Prasarana dan Utilitas Sekolah yang Telah Direhabilitasi sedang/berat","Unit"
"1","1","2.0","1.02","63.0","Rehabilitasi Ruang Praktik Peserta Didik","Ruang Praktik Peserta Didik yang Terehabilitasi","Jumlah Ruang Praktik Peserta Didik yang Telah Direhabilitasi","Ruang"
"1","1","2.0","1.02","64.0","Pembangunan Ruang Kelas Baru","Ruang Kelas Baru Bertambah","Jumlah Ruang Kelas Baru yang Bertambah","Ruang"
"1","1","2.0","1.02","65.0","Pembangunan Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah","Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah yang Terbangun","Jumlah Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah yang Telah Dibangun","Unit"
"1","1","2.0","1.02","66.0","Rehabilitasi sedang/berat Ruang Serba Guna/Aula","Ruang Serba Guna/Aula yang Terehabilitasi sedang/berat","Jumlah Ruang Serba Guna/Aula yang Telah Direhabilitasi sedang/berat","Ruang"
"1","1","2.0","1.02","67.0","Rehabilitasi sedang/berat Kantin Sekolah","Kantin Sekolah yang Terehabilitasi sedang/berat","Jumlah Kantin Sekolah yang Telah Direhabilitasi sedang/berat","Unit"
"1","1","2.0","1.02","68.0","Penataan Ruang/Sudut Baca","Ruang/Sudut Baca yang Tertata","Jumlah Ruang/Sudut Baca yang Telah Ditata","Ruang"
"1","1","2.0","1.02","69.0","Rehabilitasi sedang/berat Ruang Kelas Sekolah","Ruang Kelas Sekolah yang Terehabilitasi sedang/berat","Jumlah Ruang Kelas Sekolah yang Telah Direhabilitasi sedang/berat","Ruang"
"1","1","2.0","1.02","70.0","Rehabilitasi sedang/berat Fasilitas Parkir","Rehabilitasi Fasilitas Parkir yang Terehabilitasi sedang/berat","Jumlah Fasilitas Parkir yang Telah Direhabilitasi sedang/berat","Unit"
"1","1","2.0","1.02","71.0","Rehabilitasi sedang/berat Asrama Sekolah","Asrama Sekolah yang Terehabilitasi sedang/berat","Jumlah Asrama Sekolah yang Telah Direhabilitasi sedang/berat","Unit"
"1","1","2.0","1.02","72.0","Penyelengaraan Proses Belajar Peserta Didik","Terselenggaranya Proses Belajar bagi Peserta Didik","Jumlah Satuan Pendidikan yang Menyelenggarakan Proses Belajar","Satuan Pendidikan"
"1","1","2.0","1.02","73.0","Bimbingan Teknis, Pelatihan, dan/atau Magang/PKL untuk Peningkatan Kapasitas Bidang Pendidikan","Terlaksananya Bimbingan Teknis, Pelatihan, dan/atau Magang/PKL untuk Peningkatan Kapasitas Bidang Pendidikan","Jumlah Peserta Bimbingan Teknis, Pelatihan, dan/atau Magang/PKL untuk Peningkatan Kapasitas Bidang Pendidikan yang dilaksanakan","Orang"
"1","1","2.0","1.02","74.0","Rehabilitasi sedang/berat Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah","Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah yang Terehabilitasi sedang/berat","Jumlah Rumah Dinas Kepala Sekolah/Guru/Penjaga Sekolah yang Telah Direhabilitasi sedang/berat","Unit"
"1","1","2.0","1.02","75.0","Rehabilitasi sedang/berat Perpustakaan Sekolah","Perpustakaan Sekolah yang Terehabilitasi sedang/berat","Jumlah Perpustakaan Sekolah yang Telah Direhabilitasi sedang/berat","Ruang"
"1","1","2.0","1.02","76.0","Pembangunan Ruang Pusat Sumber Anak Berkebutuhan Khusus","Ruang Pusat Sumber Anak Berkebutuhan Khusus yang Terbangun","Jumlah Ruang Pusat Sumber Anak Berkebutuhan Khusus yang Telah Dibangun","Ruang"
"1","1","2.0","1.02","77.0","Rehabilitasi Ruang Pusat Sumber Anak Berkebutuhan Khusus","Ruang Pusat Sumber Anak Berkebutuhan Khusus yang Terehabilitasi","Jumlah Ruang Pusat Sumber Anak Berkebutuhan Khusus yang Telah Direhabilitasi","Ruang"
"1","1","2.0","1.02","78.0","Peningkatan profesi pelaku perbukuan daerah pada Satuan Pendidikan Menengah Kejuruan","Pelaku perbukuan daerah yang mendapatkan fasilitasi peningkatan profesi","Jumlah Pelaku perbukuan daerah yang mendapatkan fasilitasi peningkatan profesi","Orang"
"1","1","2.0","1.02","79.0","Pembangunan Bengkel/Unit Produksi","Bengkel/Unit Produksi yang Terbangun","Jumlah Bengkel/Unit Produksi yang Telah Dibangun","Unit"
